name_of_centre,postal_code,location_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,Latitude,Longitude
Adam Road Food Centre,289876,"2, Adam Road",HC,Government,32,32,0,1.32926,103.81452
Amoy Street Food Centre,69111,"National Development Building, Annex B, Telok Ayer Street",HC,Government,135,134,1,1.28944,103.84998
Bedok Food Centre,469572,"1, Bedok Road",HC,Government,32,32,0,1.32659,103.95121
Beo Crescent Market,169982,"38A, Beo Crescent",MHC,Government,94,32,62,1.28864,103.82764
Berseh Food Centre,208877,"166, Jalan Besar",HC,Government,66,66,0,1.30578,103.85554
Bukit Timah Market,588215,"51, Upper Bukit Timah Road",MHC,Government,179,84,95,1.3416,103.775879
Chomp Chomp Food Centre,557269,"20, Kensington Park Road",HC,Government,36,36,0,1.36722,103.86648
Commonwealth Crescent Market,149644,"31, Commonwealth Crescent",MHC,Government,102,39,63,1.30732,103.80005
Dunman Food Centre,424768,"271, Onan Road",HC,Government,30,30,0,1.30715,103.9032
East Coast Lagoon Food Village,468960,"1220, East Coast Parkway",HC,Government,63,63,0,1.30738,103.93575
Geylang Serai Market,402001,Geylang Serai,MHC,Government,365,63,302,1.31707,103.89813
Golden Mile Food Centre,199583,"505, Beach Road",MHC,Government,223,112,111,1.302,103.86293
Holland Village Market & Food Centre,277700,"1, Lorong Mambong",MHC,Government,69,21,48,1.31128,103.79476
Kallang Estate Market,397972,"17, Old Airport Road",MHC,Government,94,16,78,1.30759,103.8855
Market Street Food Centre,48940,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey",HC,Government,76,76,0,1.28944,103.84998
Newton Food Centre,229495,"500, Clemenceau Ave North",HC,Government,83,83,0,1.30937,103.83973
North Bridge Road Market & Food Centre,198783,"861, North Bridge Road",MHC,Government,119,37,82,1.30562,103.86316
Pasir Panjang Food Centre,118543,"121, Pasir Panjang Road",HC,Government,45,45,0,1.28073,103.78503
Serangoon Garden Market,555945,"49A, Serangoon Garden Way",MHC,Government,82,46,36,1.36448,103.86584
Sembawang Hill Food Centre,574419,"590, Upper Thomson Road",HC,Government,36,36,0,1.3805,103.82697
Taman Jurong Market & Food Centre,618499,"3, Yung Sheng Road",MHC,Government,180,123,57,1.33418,103.721626
Tanglin Halt Market,148813,"48A, Tanglin Halt Road",MHC,Government,117,28,89,1.30069,103.79715
Tiong Bahru Market,168898,"30, Seng Poh Road",MHC,Government,342,83,259,1.28481,103.83288
Zion Riverside Food Centre,247792,"70, Zion Road",HC,Government,32,32,0,1.29379,103.83108
ABC Brickworks Market & Food Centre,150006,"Blk 6, Jalan Bukit Merah",MHC,HDB,144,96,48,1.28425,103.817009
Albert Centre Market & Food Centre,180270,"Blk 270, Queen Street",MHC,HDB,234,86,148,1.30114,103.85353
Alexandra Village Food Centre,150120,"Blk 120, Bukit Merah Lane",HC,HDB,88,88,0,1.28566,103.80389
Blk 1 Jalan Kukoh,161001,"Blk 1, Jalan Kukoh",HC,HDB,21,21,0,1.2877,103.83933
Blk 105 Hougang Ave 1,530105,"Blk 105, Hougang Ave 1",MHC,HDB,171,51,120,1.3546,103.88837
Blk 11 Telok Blangah Crescent,90011,"Blk 11, Telok Blangah Crescent",MHC,HDB,133,56,77,1.28944,103.84998
Blk 112 Jalan Bukit Merah,160112,"Blk 112, Jalan Bukit Merah",MHC,HDB,80,22,58,1.283,103.8199
Blk 115 Bukit Merah View,151115,"Blk 115, Bukit Merah View",MHC,HDB,182,84,98,1.28448,103.82244
Blk 117 Aljunied Ave 2,380117,"Blk 117, Aljunied Ave 2",MHC,HDB,161,79,82,1.32044,103.88708
